,Value,CountryName,CountryCode,Date,EconomicSupportIndex,population,Continent
100,-6.949907897999999,Indonesia,IDN,2020-04-01,25.0,267000000,Asia
101,3.0367154789999997,Indonesia,IDN,2020-07-01,28.668478260869566,267000000,Asia
102,2.870018028,Indonesia,IDN,2020-10-01,37.5,267000000,Asia
103,-1.551888471,Luxembourg,LUX,2020-01-01,16.483516483516482,590000,Europe
104,-7.280518576,Luxembourg,LUX,2020-04-01,100.0,590000,Europe
105,9.335171985,Luxembourg,LUX,2020-07-01,97.01086956521739,590000,Europe
106,1.5810355740000002,Luxembourg,LUX,2020-10-01,86.41304347826087,590000,Europe
107,-0.440629726,South Africa,ZAF,2020-01-01,0.0,57400000,Africa
108,-16.626354004,South Africa,ZAF,2020-04-01,37.637362637362635,57400000,Africa
109,13.729306563,South Africa,ZAF,2020-07-01,75.0,57400000,Africa
110,1.527238458,South Africa,ZAF,2020-10-01,75.0,57400000,Africa
111,-3.98923824,Portugal,PRT,2020-01-01,14.835164835164836,10300000,Europe
112,-13.898128407,Portugal,PRT,2020-04-01,62.637362637362635,10300000,Europe
113,13.301908010999998,Portugal,PRT,2020-07-01,67.3913043478261,10300000,Europe
114,0.24371584300000002,Portugal,PRT,2020-10-01,50.0,10300000,Europe
115,-5.504561559,Italy,ITA,2020-01-01,6.868131868131868,59300000,Europe
116,-13.007966647,Italy,ITA,2020-04-01,57.967032967032964,59300000,Europe
117,15.875322618,Italy,ITA,2020-07-01,75.0,59300000,Europe
118,-1.929139346,Italy,ITA,2020-10-01,75.0,59300000,Europe
119,-3.0422563489999996,Austria,AUT,2020-01-01,14.148351648351648,8750000,Europe
120,-10.726835387000001,Austria,AUT,2020-04-01,87.5,8750000,Europe
121,11.794955007,Austria,AUT,2020-07-01,87.5,8750000,Europe
122,-2.708040395,Austria,AUT,2020-10-01,96.46739130434783,8750000,Europe
123,-3.906941626,Ireland,IRL,2020-01-01,11.263736263736265,4800000,Europe
124,-2.138237938,Ireland,IRL,2020-04-01,100.0,4800000,Europe
125,11.793290891,Ireland,IRL,2020-07-01,100.0,4800000,Europe
126,-5.08641479,Ireland,IRL,2020-10-01,89.94565217391305,4800000,Europe
127,-1.9147589790000001,Switzerland,CHE,2020-01-01,8.516483516483516,8540000,Europe
128,-7.159456377000001,Switzerland,CHE,2020-04-01,54.25824175824176,8540000,Europe
129,7.643502021000001,Switzerland,CHE,2020-07-01,30.97826086956522,8540000,Europe
130,0.314424053,Switzerland,CHE,2020-10-01,37.5,8540000,Europe
131,-1.192991449,New Zealand,NZL,2020-01-01,8.37912087912088,4750000,Oceania
132,-11.037063284,New Zealand,NZL,2020-04-01,62.5,4750000,Oceania
133,13.99877363,New Zealand,NZL,2020-07-01,85.05434782608695,4750000,Oceania
134,-9.7,China,CHN,2020-01-01,0.0,1420000000,Asia
135,11.6,China,CHN,2020-04-01,22.39010989010989,1420000000,Asia
136,3.0,China,CHN,2020-07-01,37.5,1420000000,Asia
137,2.6,China,CHN,2020-10-01,54.619565217391305,1420000000,Asia
138,2.968463318,Chile,CHL,2020-01-01,1.3736263736263736,18200000,South America
139,-13.468095999,Chile,CHL,2020-04-01,44.09340659340659,18200000,South America
140,5.222944289,Chile,CHL,2020-07-01,89.1304347826087,18200000,South America
141,-0.301872883,Sweden,SWE,2020-01-01,8.653846153846153,9980000,Europe
142,-7.552063413,Sweden,SWE,2020-04-01,37.5,9980000,Europe
143,6.4278689810000005,Sweden,SWE,2020-07-01,62.5,9980000,Europe
144,-0.240685386,Sweden,SWE,2020-10-01,62.5,9980000,Europe
145,-5.86459332,France,FRA,2020-01-01,17.582417582417584,65200000,Europe
146,-13.501983946,France,FRA,2020-04-01,90.10989010989012,65200000,Europe
147,18.455593395,France,FRA,2020-07-01,75.0,65200000,Europe
148,-1.444625085,France,FRA,2020-10-01,52.44565217391305,65200000,Europe
149,0.43885470299999996,Greece,GRC,2020-01-01,4.8076923076923075,11100000,Europe
150,-13.416538335,Greece,GRC,2020-04-01,54.120879120879124,11100000,Europe
151,3.1334991110000003,Greece,GRC,2020-07-01,78.26086956521739,11100000,Europe
152,2.672971387,Greece,GRC,2020-10-01,87.5,11100000,Europe
153,-2.378521584,Colombia,COL,2020-01-01,8.241758241758241,49500000,South America
154,-14.788682726,Colombia,COL,2020-04-01,73.35164835164835,49500000,South America
155,9.381009684,Colombia,COL,2020-07-01,75.0,49500000,South America
156,6.0470537570000005,Colombia,COL,2020-10-01,75.0,49500000,South America
157,-0.297117316,Lithuania,LTU,2020-01-01,4.1208791208791204,2880000,Europe
158,-6.229602719,Lithuania,LTU,2020-04-01,71.7032967032967,2880000,Europe
159,6.104009471,Lithuania,LTU,2020-07-01,72.01086956521739,2880000,Europe
160,-0.173914756,Lithuania,LTU,2020-10-01,62.5,2880000,Europe
161,-1.318603323,Saudi Arabia,SAU,2020-01-01,0.0,33600000,Asia
162,-5.215277505,Saudi Arabia,SAU,2020-04-01,58.92857142857143,33600000,Asia
163,1.792105118,Saudi Arabia,SAU,2020-07-01,62.5,33600000,Asia
164,2.800007332,Saudi Arabia,SAU,2020-10-01,59.23913043478261,33600000,Asia
165,0.44505060799999996,Bulgaria,BGR,2020-01-01,0.8241758241758241,7040000,Europe
166,-10.069032242999999,Bulgaria,BGR,2020-04-01,76.78571428571429,7040000,Europe
167,4.281045762,Bulgaria,BGR,2020-07-01,62.5,7040000,Europe
168,2.156535785,Bulgaria,BGR,2020-10-01,63.31521739130435,7040000,Europe
169,0.55760709,Romania,ROU,2020-01-01,5.906593406593407,19600000,Europe
170,-11.763477287,Romania,ROU,2020-04-01,87.5,19600000,Europe
171,5.556610472999999,Romania,ROU,2020-07-01,87.5,19600000,Europe
172,4.821774005,Romania,ROU,2020-10-01,86.68478260869566,19600000,Europe
